Sector,Subsector,Region,Market,Report_Year,Report_Half,H1_Low,H1_High,H2_Low,H2_High,H1_Alt_Low,H1_Alt_High,H2_Alt_Low,H2_Alt_High
Industrial,,South West,Orlando,2021,2,3.75,4.0,,,3.75,4.0,,
Industrial,,East Midwest,Philadelphia,2021,2,3.0,3.5,,,3.0,3.5,,
Industrial,,South West,Phoenix,2021,2,3.5,4.25,,,3.0,3.5,,
Industrial,,East Midwest,Pittsburgh,2021,2,4.0,4.5,,,4.0,4.25,,
Industrial,,South West,Portland,2021,2,4.0,4.5,,,3.5,4.0,,
Industrial,,South West,Raleigh-Durham,2021,2,3.75,4.25,,,3.5,4.0,,
Industrial,,South West,Reno,2021,2,3.75,4.25,,,3.5,4.25,,
Industrial,,South West,Sacramento,2021,2,4.0,4.5,,,3.5,4.25,,
Industrial,,South West,Salt Lake City,2021,2,3.75,4.25,,,3.5,4.0,,
Industrial,,South West,San Antonio,2021,2,4.75,5.25,,,3.5,4.5,,
Industrial,,South West,San Diego,2021,2,3.5,4.0,,,3.0,3.5,,
Industrial,,South West,Savannah,2021,2,4.0,4.25,,,3.75,4.25,,
Industrial,,East Midwest,Se Wisconsin,2021,2,4.75,5.0,,,4.75,5.0,,
Industrial,,South West,Seattle,2021,2,3.5,4.0,,,3.0,3.5,,
Industrial,,East Midwest,St Louis,2021,2,5.0,5.25,,,5.0,5.25,,
Industrial,,South West,Tampa,2021,2,3.75,4.25,,,3.75,4.25,,
Industrial,,South West,Tulsa,2021,2,5.0,5.75,,,4.75,5.5,,
Multifamily,Class A,South West,Albuquerque,2021,2,4.5,5.0,,,4.25,4.75,,
Multifamily,Class A,South West,Atlanta,2021,2,3.75,4.25,,,3.5,4.0,,
Multifamily,Class A,South West,Austin,2021,2,3.25,4.0,,,3.0,3.75,,
Multifamily,Class A,East Midwest,Baltimore,2021,2,4.25,4.75,,,4.0,4.5,,
Multifamily,Class A,East Midwest,Boston,2021,2,3.25,3.75,,,3.25,3.5,,
Multifamily,Class A,South West,Charlotte,2021,2,3.75,4.25,,,3.25,3.5,,
Multifamily,Class A,East Midwest,Chicago,2021,2,4.5,5.25,,,4.0,4.5,,
Multifamily,Class A,East Midwest,Cincinnati,2021,2,4.0,4.5,,,4.0,4.5,,
Multifamily,Class A,East Midwest,Cleveland,2021,2,5.0,6.0,,,5.0,6.0,,
Multifamily,Class A,East Midwest,Columbus,2021,2,4.5,5.0,,,4.5,5.0,,
Multifamily,Class A,South West,Dallas/Fort Worth,2021,2,3.75,4.25,,,3.0,4.0,,
Multifamily,Class A,South West,Denver,2021,2,4.0,4.5,,,3.25,3.75,,
Multifamily,Class A,East Midwest,Detroit,2021,2,4.75,5.75,,,4.25,5.0,,
Multifamily,Class A,South West,Houston,2021,2,4.0,4.5,,,3.75,4.25,,
Multifamily,Class A,South West,Jacksonville,2021,2,4.0,4.5,,,3.75,4.5,,
Multifamily,Class A,East Midwest,Kansas City,2021,2,4.25,4.75,,,4.0,4.5,,
Multifamily,Class A,South West,Las Vegas,2021,2,3.75,4.0,,,3.25,3.5,,
Multifamily,Class A,East Midwest,Milwaukee,2021,2,5.0,5.5,,,4.5,5.0,,
Multifamily,Class A,East Midwest,Minneapolis/St Paul,2021,2,4.5,4.75,,,4.0,4.5,,
Multifamily,Class A,South West,Nashville,2021,2,3.75,4.25,,,3.5,4.0,,
Multifamily,Class A,South West,Oklahoma City,2021,2,5.25,5.75,,,4.5,5.25,,
Multifamily,Class A,South West,Orlando,2021,2,3.75,4.5,,,3.25,4.25,,
Multifamily,Class A,East Midwest,Philadelphia,2021,2,4.75,5.25,,,4.5,5.0,,
Multifamily,Class A,South West,Phoenix,2021,2,3.0,3.75,,,3.0,3.5,,
Multifamily,Class A,East Midwest,Pittsburgh,2021,2,4.25,4.75,,,4.25,5.0,,
Multifamily,Class A,South West,Portland,2021,2,4.0,4.25,,,3.75,4.0,,
Multifamily,Class A,South West,Raleigh-Durham,2021,2,3.75,4.25,,,3.25,3.5,,
Multifamily,Class A,South West,Sacramento,2021,2,4.0,4.5,,,3.0,3.5,,
Multifamily,Class A,South West,Salt Lake City,2021,2,4.0,4.5,,,3.0,3.25,,
